Run_ID,Feed_Temp_K,Feed_Press_Pa,Benzene_Frac,Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate,x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW,Converged
1617,333.89314177338883,149557.5002389467,0.4559936255578473,15,7,2.9578097909703347,59.95196692144267,0.4806846353636935,0.0003546840767400599,143542.31279140193,149387.93316243996,True
1618,341.8587307679138,126278.54219505716,0.5584850251160272,15,5,3.9891490933413074,52.21275603559072,0.5841966883959768,7.786876632079082e-05,183469.4824371908,187386.12444622756,True
1619,329.6693467315609,144214.29591134406,0.5887491734913808,20,6,2.994283291931044,52.46391781791675,0.6158685599337659,3.909852890716647e-06,147074.45560830188,152918.07527767503,True
1620,342.588668932531,102873.56101911388,0.4440809488736263,22,7,4.696051288376191,57.938761159618174,0,0,0,0,False
1621,345.31809889115954,112833.2023982022,0.6628373693331219,26,8,2.7682439922583013,50.17241853458072,0,0,0,0,False
1622,330.47503838819165,103732.14624541186,0.5087741325164685,15,6,2.092977958347154,57.69942563247254,0.535001694240138,0.00024431967639671815,112824.86760764384,118960.88423068503,True
1623,332.82829456924026,118667.51987474039,0.36783878000863873,18,12,1.5223738244906784,50.003843773640504,0.38446963902081943,0.0020878434498324177,91659.19011708462,98203.07823035501,True
1624,320.57820387706676,107098.92201156354,0.3502641697985023,20,7,3.8010650030717272,44.75362419419001,0,0,0,0,False
1625,321.7927777380709,104764.88116433834,0.5509565963402245,22,7,1.8071389584706452,57.942818777501074,0,0,0,0,False
1626,328.4776227979491,137839.85706472863,0.4650734057198823,18,13,2.7349423885564725,45.194865779967046,0.4836238956994143,0.004203938949161278,137440.76122057915,144139.96603770045,True
1627,297.41708687261337,128690.83381601631,0.44478311638344087,20,11,2.728939332982383,53.55780763469205,0.4662249797717324,0.00015810926385399654,135942.5548084022,147786.0984355018,True
1628,325.2346735352201,116175.3182396968,0.5780535443681241,28,5,4.443190010170585,52.10378140869485,0,0,0,0,False
1629,306.8608398028388,130536.54702599457,0.4957287045092698,19,6,4.1763216938739545,42.1470082091629,0.5141902885097143,4.948880088066485e-06,191428.41223451053,201484.6510892605,True
1630,335.4804014115432,115264.54081092284,0.39254449840482636,26,7,3.3126304565106475,54.95473803807013,0,0,0,0,False
1631,346.71591261211114,105632.68183261994,0.4944815521686292,20,7,3.9236044381499218,46.033963759039985,0.5146686336531644,5.1462304292030195e-06,181409.7010008335,184806.44421992032,True
1632,334.898659929835,148894.42019008778,0.5701188201206158,27,9,2.524501497580337,55.50163941043504,0,0,0,0,False
1633,305.26627476226247,105762.42871050705,0.3936285182057563,24,8,4.794587959945091,40.57281200766132,0,0,0,0,False
1634,326.7655058949283,106809.33907114196,0.31532486106925617,21,7,4.586805438584817,42.24087213178389,0,0,0,0,False
1635,325.3214711011599,146035.98340945496,0.638487766256672,18,10,1.92746120944556,46.260004588603245,0.6640083524874473,0.0007966758092815976,108656.64575930694,114975.22285790207,True
